fecha,zona_prov,w_median
2013-12-01,SAN LUIS,10009
2013-12-01,SANTA CRUZ,18938
2013-12-01,SANTA FE,10980
2013-12-01,SANTIAGO DEL ESTERO,7016
2013-12-01,TIERRA DEL FUEGO,19143
2013-12-01,TUCUMAN,8183
2014-01-01,BUENOS AIRES,7648
2014-01-01,CAPITAL FEDERAL,8838
2014-01-01,CATAMARCA,6270
2014-01-01,CHACO,6938
2014-01-01,CHUBUT,10143
2014-01-01,CORDOBA,7516
2014-01-01,CORRIENTES,6687
2014-01-01,ENTRE RIOS,6723
2014-01-01,FORMOSA,6215
2014-01-01,JUJUY,5731
2014-01-01,LA PAMPA,8614
2014-01-01,LA RIOJA,5356
2014-01-01,MENDOZA,6684
2014-01-01,MISIONES,6544
2014-01-01,NEUQUEN,9603
2014-01-01,RIO NEGRO,6988
2014-01-01,SALTA,5979
2014-01-01,SAN JUAN,6866
2014-01-01,SAN LUIS,6906
2014-01-01,SANTA CRUZ,13229
2014-01-01,SANTA FE,7733
2014-01-01,SANTIAGO DEL ESTERO,4870
2014-01-01,TIERRA DEL FUEGO,13053
2014-01-01,TUCUMAN,5810
2014-02-01,BUENOS AIRES,7613
2014-02-01,CAPITAL FEDERAL,8736
2014-02-01,CATAMARCA,6216
2014-02-01,CHACO,6888
2014-02-01,CHUBUT,10167
2014-02-01,CORDOBA,7782
2014-02-01,CORRIENTES,6618
2014-02-01,ENTRE RIOS,6502
2014-02-01,FORMOSA,6182
2014-02-01,JUJUY,5669
2014-02-01,LA PAMPA,8096
2014-02-01,LA RIOJA,5234
2014-02-01,MENDOZA,6581
2014-02-01,MISIONES,6504
2014-02-01,NEUQUEN,10036
2014-02-01,RIO NEGRO,7811
2014-02-01,SALTA,6220
2014-02-01,SAN JUAN,6716
2014-02-01,SAN LUIS,6765
2014-02-01,SANTA CRUZ,13238
2014-02-01,SANTA FE,7733
2014-02-01,SANTIAGO DEL ESTERO,5796
2014-02-01,TIERRA DEL FUEGO,14355
2014-02-01,TUCUMAN,5807
2014-03-01,BUENOS AIRES,7903
2014-03-01,CAPITAL FEDERAL,8921
2014-03-01,CATAMARCA,6580
2014-03-01,CHACO,7238
2014-03-01,CHUBUT,10738
2014-03-01,CORDOBA,7828
2014-03-01,CORRIENTES,6924
2014-03-01,ENTRE RIOS,7223
2014-03-01,FORMOSA,6138
2014-03-01,JUJUY,6501
2014-03-01,LA PAMPA,8453
2014-03-01,LA RIOJA,5268
2014-03-01,MENDOZA,6549
2014-03-01,MISIONES,6747
2014-03-01,NEUQUEN,10373
2014-03-01,RIO NEGRO,8166
2014-03-01,SALTA,6512
2014-03-01,SAN JUAN,7566
2014-03-01,SAN LUIS,7253
2014-03-01,SANTA CRUZ,14232
2014-03-01,SANTA FE,8163
2014-03-01,SANTIAGO DEL ESTERO,5911
2014-03-01,TIERRA DEL FUEGO,14979
2014-03-01,TUCUMAN,6118
2014-04-01,BUENOS AIRES,8593
2014-04-01,CAPITAL FEDERAL,9506
2014-04-01,CATAMARCA,6842
2014-04-01,CHACO,7853
2014-04-01,CHUBUT,11495
2014-04-01,CORDOBA,8631
2014-04-01,CORRIENTES,7144
2014-04-01,ENTRE RIOS,7513
2014-04-01,FORMOSA,7932
2014-04-01,JUJUY,7084
2014-04-01,LA PAMPA,8882
2014-04-01,LA RIOJA,5556
2014-04-01,MENDOZA,7501
2014-04-01,MISIONES,7052
2014-04-01,NEUQUEN,10631
2014-04-01,RIO NEGRO,8315
2014-04-01,SALTA,6882
2014-04-01,SAN JUAN,8024
2014-04-01,SAN LUIS,7563
2014-04-01,SANTA CRUZ,14931
2014-04-01,SANTA FE,8834
2014-04-01,SANTIAGO DEL ESTERO,6074
2014-04-01,TIERRA DEL FUEGO,15705
2014-04-01,TUCUMAN,6633
2014-05-01,BUENOS AIRES,8789
2014-05-01,CAPITAL FEDERAL,9560
2014-05-01,CATAMARCA,7178
2014-05-01,CHACO,7865
2014-05-01,CHUBUT,11865
2014-05-01,CORDOBA,8827
2014-05-01,CORRIENTES,7346
2014-05-01,ENTRE RIOS,7554
2014-05-01,FORMOSA,7498
2014-05-01,JUJUY,6943
2014-05-01,LA PAMPA,9242
2014-05-01,LA RIOJA,5918
2014-05-01,MENDOZA,7956
2014-05-01,MISIONES,7254
2014-05-01,NEUQUEN,10901
2014-05-01,RIO NEGRO,8572
2014-05-01,SALTA,7281
2014-05-01,SAN JUAN,8202
2014-05-01,SAN LUIS,7876
2014-05-01,SANTA CRUZ,15569
2014-05-01,SANTA FE,8940
2014-05-01,SANTIAGO DEL ESTERO,6121
2014-05-01,TIERRA DEL FUEGO,16531
2014-05-01,TUCUMAN,6227
2014-06-01,BUENOS AIRES,12713
2014-06-01,CAPITAL FEDERAL,14109
2014-06-01,CATAMARCA,10365
2014-06-01,CHACO,11237
2014-06-01,CHUBUT,16119
2014-06-01,CORDOBA,12948
2014-06-01,CORRIENTES,10601
2014-06-01,ENTRE RIOS,10110
2014-06-01,FORMOSA,10306
2014-06-01,JUJUY,10437
2014-06-01,LA PAMPA,13429
2014-06-01,LA RIOJA,8358
2014-06-01,MENDOZA,11249
2014-06-01,MISIONES,9725
2014-06-01,NEUQUEN,15911
2014-06-01,RIO NEGRO,11975
2014-06-01,SALTA,10158
2014-06-01,SAN JUAN,11864
2014-06-01,SAN LUIS,11379
2014-06-01,SANTA CRUZ,22644
2014-06-01,SANTA FE,13005
2014-06-01,SANTIAGO DEL ESTERO,8754
2014-06-01,TIERRA DEL FUEGO,21743
2014-06-01,TUCUMAN,8898
2014-07-01,BUENOS AIRES,9401
2014-07-01,CAPITAL FEDERAL,10414
2014-07-01,CATAMARCA,7361
2014-07-01,CHACO,8430
2014-07-01,CHUBUT,12929
2014-07-01,CORDOBA,9295
2014-07-01,CORRIENTES,7717
2014-07-01,ENTRE RIOS,8691
2014-07-01,FORMOSA,7867
2014-07-01,JUJUY,7515
2014-07-01,LA PAMPA,10152
2014-07-01,LA RIOJA,6306
2014-07-01,MENDOZA,8327
2014-07-01,MISIONES,7926
2014-07-01,NEUQUEN,12368
2014-07-01,RIO NEGRO,9220
2014-07-01,SALTA,7683
2014-07-01,SAN JUAN,8534
2014-07-01,SAN LUIS,8529
2014-07-01,SANTA CRUZ,17130
2014-07-01,SANTA FE,9785
2014-07-01,SANTIAGO DEL ESTERO,6387
2014-07-01,TIERRA DEL FUEGO,18325
2014-07-01,TUCUMAN,6633
2014-08-01,BUENOS AIRES,9257
2014-08-01,CAPITAL FEDERAL,10290
2014-08-01,CATAMARCA,7441
2014-08-01,CHACO,8604
2014-08-01,CHUBUT,12766
2014-08-01,CORDOBA,9179
2014-08-01,CORRIENTES,7935
2014-08-01,ENTRE RIOS,8275
2014-08-01,FORMOSA,7899
2014-08-01,JUJUY,7599
2014-08-01,LA PAMPA,9832
2014-08-01,LA RIOJA,6169
2014-08-01,MENDOZA,8411
2014-08-01,MISIONES,8038
2014-08-01,NEUQUEN,12403
2014-08-01,RIO NEGRO,9206
2014-08-01,SALTA,7854
2014-08-01,SAN JUAN,8451
2014-08-01,SAN LUIS,8473
2014-08-01,SANTA CRUZ,17324
2014-08-01,SANTA FE,9317
2014-08-01,SANTIAGO DEL ESTERO,6353
2014-08-01,TIERRA DEL FUEGO,17891
2014-08-01,TUCUMAN,6898
2014-09-01,BUENOS AIRES,9638
2014-09-01,CAPITAL FEDERAL,10625
2014-09-01,CATAMARCA,7575
2014-09-01,CHACO,8718
2014-09-01,CHUBUT,13136
2014-09-01,CORDOBA,9520
2014-09-01,CORRIENTES,7968
2014-09-01,ENTRE RIOS,8333
2014-09-01,FORMOSA,7917
2014-09-01,JUJUY,7525
2014-09-01,LA PAMPA,10235
2014-09-01,LA RIOJA,6462
2014-09-01,MENDOZA,8394
2014-09-01,MISIONES,8184
2014-09-01,NEUQUEN,12637
2014-09-01,RIO NEGRO,9506
2014-09-01,SALTA,7777
2014-09-01,SAN JUAN,8528
2014-09-01,SAN LUIS,8592
2014-09-01,SANTA CRUZ,17495
2014-09-01,SANTA FE,9731
2014-09-01,SANTIAGO DEL ESTERO,6351
2014-09-01,TIERRA DEL FUEGO,17769
2014-09-01,TUCUMAN,7032
2014-10-01,BUENOS AIRES,9807
2014-10-01,CAPITAL FEDERAL,10841
2014-10-01,CATAMARCA,7688
2014-10-01,CHACO,8867
2014-10-01,CHUBUT,13462
2014-10-01,CORDOBA,9652
2014-10-01,CORRIENTES,8423
2014-10-01,ENTRE RIOS,8384
2014-10-01,FORMOSA,8124
2014-10-01,JUJUY,7640
2014-10-01,LA PAMPA,10242
2014-10-01,LA RIOJA,6556
2014-10-01,MENDOZA,8462
2014-10-01,MISIONES,8518
2014-10-01,NEUQUEN,12824
2014-10-01,RIO NEGRO,9669
2014-10-01,SALTA,7986
2014-10-01,SAN JUAN,8739
2014-10-01,SAN LUIS,8869
2014-10-01,SANTA CRUZ,18023
2014-10-01,SANTA FE,9838
2014-10-01,SANTIAGO DEL ESTERO,6407
2014-10-01,TIERRA DEL FUEGO,19318
2014-10-01,TUCUMAN,7277
2014-11-01,BUENOS AIRES,9983
2014-11-01,CAPITAL FEDERAL,11200
2014-11-01,CATAMARCA,7959
2014-11-01,CHACO,9179
2014-11-01,CHUBUT,13744
2014-11-01,CORDOBA,9840
2014-11-01,CORRIENTES,8437
2014-11-01,ENTRE RIOS,8431
2014-11-01,FORMOSA,7926
2014-11-01,JUJUY,7590
2014-11-01,LA PAMPA,11082
2014-11-01,LA RIOJA,6545
2014-11-01,MENDOZA,8504
2014-11-01,MISIONES,8553
2014-11-01,NEUQUEN,13095
2014-11-01,RIO NEGRO,9602
2014-11-01,SALTA,8030
2014-11-01,SAN JUAN,8719
2014-11-01,SAN LUIS,8853
2014-11-01,SANTA CRUZ,17869
2014-11-01,SANTA FE,10173
2014-11-01,SANTIAGO DEL ESTERO,6421
2014-11-01,TIERRA DEL FUEGO,19645
2014-11-01,TUCUMAN,7406
2014-12-01,BUENOS AIRES,14500
2014-12-01,CAPITAL FEDERAL,16313
2014-12-01,CATAMARCA,11676
2014-12-01,CHACO,13023
2014-12-01,CHUBUT,17951
2014-12-01,CORDOBA,14753
2014-12-01,CORRIENTES,12240
2014-12-01,ENTRE RIOS,12472
2014-12-01,FORMOSA,11930
2014-12-01,JUJUY,10767
2014-12-01,LA PAMPA,15181
2014-12-01,LA RIOJA,9784
2014-12-01,MENDOZA,12149
2014-12-01,MISIONES,11935
2014-12-01,NEUQUEN,19038
